,State,Region,Division,County,FIPS,GEOID,SMS Region,Year,Premature death,Poor or fair health,Poor physical health days,Poor mental health days,Food environment index,Physical inactivity,Access to exercise opportunities,Primary care physicians,Uninsured adults,Uninsured children,Health care costs,Could not see doctor due to cost,Other primary care providers,Median household income
3341,NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2014,7283.0,0.213,3.7,3.9,7.114,0.25,0.98,97.0,0.307,0.117,8245.0,0.155,91.0,37049
3342,NC,South,South Atlantic,Jackson County,37099,37099,Region 20,1/1/2015,7236.0,0.213,3.7,3.9,6.7,0.268,0.918,89.0,0.301,0.121,8216.0,0.155,105.0,40511
3343,NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2014,7341.0,0.204,4.0,3.7,7.889,0.278,0.567,31.0,0.235,0.083,10794.0,0.182,39.0,48773
3344,NC,South,South Atlantic,Johnston County,37101,37101,Region 20,1/1/2015,7499.0,0.204,4.0,3.7,7.6,0.267,0.707,29.0,0.263,0.098,10690.0,0.182,44.0,50904
3345,NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2014,8375.0,0.189,3.6,6.2,7.462,0.331,0.551,60.0,0.247,0.099,8066.0,,107.0,35159
3346,NC,South,South Atlantic,Jones County,37103,37103,Region 20,1/1/2015,10038.0,0.189,3.6,6.2,6.9,0.301,0.618,49.0,0.251,0.094,8795.0,,88.0,39602
3347,NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2014,8413.0,0.201,3.4,4.0,6.448,0.263,0.49,54.0,0.275,0.095,9007.0,0.203,60.0,43424
3348,NC,South,South Atlantic,Lee County,37105,37105,Region 20,1/1/2015,8793.0,0.201,3.4,4.0,6.3,0.239,0.666,55.0,0.272,0.096,9477.0,0.203,65.0,48061
3349,NC,South,South Atlantic,Lenoir County,37107,37107,Region 20,1/1/2014,10935.0,0.25,4.1,4.7,6.104,0.356,0.537,46.0,0.246,0.076,9027.0,0.182,52.0,35634
3350,NC,South,South Atlantic,Lenoir County,37107,37107,Region 20,1/1/2015,9927.0,0.25,4.1,4.7,5.8,0.341,0.559,46.0,0.261,0.065,9353.0,0.182,63.0,34127
3351,NC,South,South Atlantic,Lincoln County,37109,37109,Region 20,1/1/2014,7758.0,0.203,4.2,3.3,7.593,0.255,0.701,46.0,0.235,0.076,9636.0,0.171,24.0,47799
3352,NC,South,South Atlantic,Lincoln County,37109,37109,Region 20,1/1/2015,7146.0,0.203,4.2,3.3,7.4,0.278,0.646,42.0,0.219,0.089,9569.0,0.171,25.0,50537
3353,NC,South,South Atlantic,Macon County,37113,37113,Region 15,1/1/2014,7125.0,0.173,3.4,3.9,7.754,0.255,1.0,79.0,0.288,0.11,7449.0,0.178,30.0,36438
3354,NC,South,South Atlantic,Macon County,37113,37113,Region 15,1/1/2015,8727.0,0.173,3.4,3.9,7.4,0.233,1.0,77.0,0.307,0.109,7359.0,0.178,30.0,37219
3355,NC,South,South Atlantic,Madison County,37115,37115,Region 20,1/1/2014,7660.0,0.196,4.8,,7.852,0.26,0.811,53.0,0.225,0.069,8296.0,0.18,53.0,37644
3356,NC,South,South Atlantic,Madison County,37115,37115,Region 20,1/1/2015,6607.0,0.196,4.8,,7.5,0.272,0.397,53.0,0.229,0.081,8968.0,0.18,57.0,37479
3357,NC,South,South Atlantic,Martin County,37117,37117,Region 20,1/1/2014,10798.0,0.221,4.8,,6.579,0.302,0.344,37.0,0.219,0.07,8809.0,0.167,33.0,33159
3358,NC,South,South Atlantic,Martin County,37117,37117,Region 20,1/1/2015,8218.0,0.221,4.8,,6.2,0.325,0.579,46.0,0.236,0.073,10047.0,0.167,42.0,34761
3359,NC,South,South Atlantic,McDowell County,37111,37111,Region 20,1/1/2014,7946.0,0.288,6.2,4.5,7.322,0.315,0.753,38.0,0.209,0.067,8398.0,0.2,56.0,36584
3360,NC,South,South Atlantic,McDowell County,37111,37111,Region 20,1/1/2015,7834.0,0.288,6.2,4.5,7.1,0.304,0.829,36.0,0.238,0.073,8489.0,0.2,62.0,36840
3361,NC,South,South Atlantic,Mecklenburg County,37119,37119,Region 20,1/1/2014,6039.0,0.142,2.8,3.2,6.743,0.206,0.868,87.0,0.225,0.074,8324.0,0.164,80.0,55392
3362,NC,South,South Atlantic,Mecklenburg County,37119,37119,Region 20,1/1/2015,5594.0,0.142,2.8,3.2,6.5,0.203,0.893,86.0,0.23,0.067,8514.0,0.164,88.0,54657
3363,NC,South,South Atlantic,Mitchell County,37121,37121,Region 16,1/1/2014,8311.0,0.196,4.3,4.7,7.736,0.285,1.0,91.0,0.235,0.075,8601.0,0.172,59.0,36210
3364,NC,South,South Atlantic,Mitchell County,37121,37121,Region 16,1/1/2015,7766.0,0.196,4.3,4.7,7.3,0.309,1.0,78.0,0.215,0.072,9123.0,0.172,85.0,38303
3365,NC,South,South Atlantic,Montgomery County,37123,37123,Region 20,1/1/2014,8828.0,,3.7,2.1,7.132,0.276,0.811,29.0,0.291,0.11,9332.0,,40.0,35272
3366,NC,South,South Atlantic,Montgomery County,37123,37123,Region 20,1/1/2015,9352.0,,3.7,2.1,6.9,0.274,0.786,33.0,0.296,0.095,9986.0,,36.0,35613
3367,NC,South,South Atlantic,Moore County,37125,37125,Region 20,1/1/2014,6997.0,0.154,3.6,3.1,7.597,0.279,0.415,92.0,0.225,0.075,8452.0,0.177,94.0,49670
3368,NC,South,South Atlantic,Moore County,37125,37125,Region 20,1/1/2015,7025.0,0.154,3.6,3.1,7.2,0.266,0.681,97.0,0.221,0.081,8895.0,0.177,99.0,50169
3369,NC,South,South Atlantic,Nash County,37127,37127,Region 20,1/1/2014,9178.0,0.202,2.9,3.1,6.446,0.304,0.535,60.0,0.218,0.076,8725.0,0.206,76.0,40937
3370,NC,South,South Atlantic,Nash County,37127,37127,Region 20,1/1/2015,8879.0,0.202,2.9,3.1,6.1,0.321,0.634,60.0,0.236,0.075,9511.0,0.206,81.0,41575
3371,NC,South,South Atlantic,New Hanover County,37129,37129,Region 20,1/1/2014,6525.0,0.15,3.3,3.4,6.846,0.21,0.787,88.0,0.227,0.074,8982.0,0.143,138.0,50890
3372,NC,South,South Atlantic,New Hanover County,37129,37129,Region 20,1/1/2015,6209.0,0.15,3.3,3.4,6.5,0.199,0.871,92.0,0.221,0.071,9130.0,0.143,143.0,48651
3373,NC,South,South Atlantic,Northampton County,37131,37131,Insuff Data,1/1/2014,10148.0,0.246,4.1,3.6,6.168,0.341,0.177,9.0,0.213,0.062,9012.0,0.226,23.0,31217
3374,NC,South,South Atlantic,Northampton County,37131,37131,Insuff Data,1/1/2015,10052.0,0.246,4.1,3.6,5.7,0.344,0.249,9.0,0.21,0.068,9909.0,0.226,24.0,31732
3375,NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2014,7303.0,0.166,4.2,3.8,6.667,0.236,0.343,33.0,0.193,0.06,9139.0,0.127,76.0,44263
3376,NC,South,South Atlantic,Onslow County,37133,37133,Region 20,1/1/2015,7122.0,0.166,4.2,3.8,6.3,0.239,0.591,33.0,0.211,0.07,9651.0,0.127,75.0,45213
3377,NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2014,5063.0,0.128,2.8,3.1,6.924,0.16,0.794,198.0,0.19,0.09,7147.0,0.135,180.0,53026
3378,NC,South,South Atlantic,Orange County,37135,37135,Region 20,1/1/2015,4569.0,0.128,2.8,3.1,6.6,0.158,0.857,180.0,0.172,0.073,7147.0,0.135,181.0,59472
3379,NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2014,9428.0,,2.1,,7.899,0.287,0.301,38.0,0.215,0.104,8082.0,,38.0,41004
3380,NC,South,South Atlantic,Pamlico County,37137,37137,Region 20,1/1/2015,7279.0,,2.1,,7.5,0.273,0.315,38.0,0.224,0.101,9062.0,,39.0,43517
3381,NC,South,South Atlantic,Pasquotank County,37139,37139,Region 1,1/1/2014,8052.0,0.205,3.2,3.3,6.04,0.293,0.737,54.0,0.217,0.072,8307.0,0.147,89.0,43935
3382,NC,South,South Atlantic,Pasquotank County,37139,37139,Region 1,1/1/2015,7662.0,0.205,3.2,3.3,5.7,0.282,0.686,71.0,0.23,0.07,8382.0,0.147,110.0,40094
3383,NC,South,South Atlantic,Pender County,37141,37141,Region 20,1/1/2014,8143.0,0.152,3.0,2.7,7.376,0.266,0.476,32.0,0.243,0.087,9748.0,0.171,41.0,43318
3384,NC,South,South Atlantic,Pender County,37141,37141,Region 20,1/1/2015,7791.0,0.152,3.0,2.7,7.1,0.248,0.655,31.0,0.254,0.099,9620.0,0.171,43.0,44949
3385,NC,South,South Atlantic,Perquimans County,37143,37143,Insuff Data,1/1/2014,8837.0,0.201,4.9,2.0,7.447,0.281,0.355,22.0,0.211,0.085,8591.0,0.205,15.0,42494
3386,NC,South,South Atlantic,Perquimans County,37143,37143,Insuff Data,1/1/2015,8813.0,0.201,4.9,2.0,7.2,0.265,,22.0,0.218,0.091,8269.0,0.205,15.0,42504
3387,NC,South,South Atlantic,Person County,37145,37145,Region 20,1/1/2014,8370.0,0.139,2.3,2.8,7.215,0.295,0.403,33.0,0.209,0.074,8304.0,0.15,66.0,42546
3388,NC,South,South Atlantic,Person County,37145,37145,Region 20,1/1/2015,7850.0,0.139,2.3,2.8,7.0,0.29,0.66,33.0,0.217,0.076,8770.0,0.15,59.0,42091
3389,NC,South,South Atlantic,Pitt County,37147,37147,Region 20,1/1/2014,7946.0,0.165,3.6,3.2,6.358,0.243,0.565,99.0,0.204,0.072,8833.0,0.16,123.0,39343
3390,NC,South,South Atlantic,Pitt County,37147,37147,Region 20,1/1/2015,7610.0,0.165,3.6,3.2,6.1,0.245,0.61,99.0,0.227,0.073,9143.0,0.16,134.0,40940
3391,NC,South,South Atlantic,Polk County,37149,37149,Region 20,1/1/2014,7460.0,0.108,3.9,3.9,8.622,0.258,0.614,54.0,0.234,0.093,8199.0,0.153,64.0,41719
3392,NC,South,South Atlantic,Polk County,37149,37149,Region 20,1/1/2015,6747.0,0.108,3.9,3.9,8.0,0.264,0.861,54.0,0.24,0.106,8148.0,0.153,64.0,43665
3393,NC,South,South Atlantic,Randolph County,37151,37151,Region 20,1/1/2014,7925.0,0.191,4.0,3.7,7.3,0.288,0.465,48.0,0.265,0.098,9145.0,0.179,34.0,41815
3394,NC,South,South Atlantic,Randolph County,37151,37151,Region 20,1/1/2015,7771.0,0.191,4.0,3.7,7.0,0.293,0.738,45.0,0.268,0.087,9432.0,0.179,38.0,40896
3395,NC,South,South Atlantic,Richmond County,37153,37153,Region 20,1/1/2014,10344.0,0.267,5.3,5.7,6.109,0.327,0.459,43.0,0.274,0.084,9669.0,0.182,28.0,30726
3396,NC,South,South Atlantic,Richmond County,37153,37153,Region 20,1/1/2015,10599.0,0.267,5.3,5.7,5.8,0.33,0.568,45.0,0.268,0.082,10568.0,0.182,30.0,32825
3397,NC,South,South Atlantic,Robeson County,37155,37155,Region 20,1/1/2014,11614.0,0.258,4.8,3.7,5.86,0.372,0.218,44.0,0.344,0.09,10712.0,0.252,71.0,29965
3398,NC,South,South Atlantic,Robeson County,37155,37155,Region 20,1/1/2015,11259.0,0.258,4.8,3.7,5.5,0.348,0.359,45.0,0.337,0.101,10613.0,0.252,74.0,30248
3399,NC,South,South Atlantic,Rockingham County,37157,37157,Region 20,1/1/2014,9229.0,0.244,5.1,4.0,6.374,0.299,0.407,42.0,0.219,0.075,8623.0,0.183,44.0,37577
3400,NC,South,South Atlantic,Rockingham County,37157,37157,Region 20,1/1/2015,9155.0,0.244,5.1,4.0,6.0,0.333,0.682,39.0,0.229,0.075,9311.0,0.183,49.0,40446
3401,NC,South,South Atlantic,Rowan County,37159,37159,Region 20,1/1/2014,8483.0,0.22,4.2,4.2,6.706,0.302,0.744,43.0,0.241,0.075,9239.0,0.205,52.0,40400
3402,NC,South,South Atlantic,Rowan County,37159,37159,Region 20,1/1/2015,9034.0,0.22,4.2,4.2,6.4,0.302,0.826,41.0,0.255,0.086,8827.0,0.205,59.0,41475
3403,NC,South,South Atlantic,Rutherford County,37161,37161,Region 20,1/1/2014,8593.0,0.24,4.9,4.8,6.223,0.288,0.561,55.0,0.239,0.069,8656.0,0.232,49.0,34193
3404,NC,South,South Atlantic,Rutherford County,37161,37161,Region 20,1/1/2015,8369.0,0.24,4.9,4.8,6.0,0.266,0.619,52.0,0.24,0.071,8757.0,0.232,57.0,35544
3405,NC,South,South Atlantic,Sampson County,37163,37163,Region 20,1/1/2014,10349.0,0.255,3.7,2.3,7.291,0.275,0.23,50.0,0.293,0.097,9716.0,0.163,36.0,37420
3406,NC,South,South Atlantic,Sampson County,37163,37163,Region 20,1/1/2015,9385.0,0.255,3.7,2.3,7.0,0.294,0.402,47.0,0.291,0.096,9899.0,0.163,36.0,35890
3407,NC,South,South Atlantic,Scotland County,37165,37165,Region 20,1/1/2014,11100.0,0.276,3.7,4.3,4.903,0.289,0.289,75.0,0.256,0.07,9615.0,0.2,75.0,31704
3408,NC,South,South Atlantic,Scotland County,37165,37165,Region 20,1/1/2015,11011.0,0.276,3.7,4.3,4.6,0.28,0.662,69.0,0.255,0.078,9441.0,0.2,83.0,32314
3409,NC,South,South Atlantic,Stanly County,37167,37167,Region 20,1/1/2014,7933.0,0.262,5.8,5.5,7.68,0.307,0.504,43.0,0.223,0.077,9575.0,0.183,35.0,42816
3410,NC,South,South Atlantic,Stanly County,37167,37167,Region 20,1/1/2015,7824.0,0.262,5.8,5.5,7.4,0.328,0.677,48.0,0.218,0.074,9344.0,0.183,38.0,42801
3411,NC,South,South Atlantic,Stokes County,37169,37169,Region 20,1/1/2014,8566.0,0.183,3.8,5.3,7.811,0.259,0.552,17.0,0.208,0.065,10323.0,0.165,45.0,42272
3412,NC,South,South Atlantic,Stokes County,37169,37169,Region 20,1/1/2015,8181.0,0.183,3.8,5.3,7.3,0.284,0.747,17.0,0.215,0.071,10006.0,0.165,47.0,44552
3413,NC,South,South Atlantic,Surry County,37171,37171,Region 20,1/1/2014,8779.0,0.238,4.4,3.5,7.612,0.265,0.406,72.0,0.259,0.089,10454.0,0.184,86.0,36934
3414,NC,South,South Atlantic,Surry County,37171,37171,Region 20,1/1/2015,8092.0,0.238,4.4,3.5,7.3,0.306,0.573,75.0,0.27,0.091,10501.0,0.184,105.0,36221
3415,NC,South,South Atlantic,Swain County,37173,37173,Region 15,1/1/2014,13578.0,0.219,4.9,3.6,7.238,0.302,0.955,107.0,0.279,0.114,8727.0,0.229,120.0,36280
3416,NC,South,South Atlantic,Swain County,37173,37173,Region 15,1/1/2015,13560.0,0.219,4.9,3.6,6.9,0.289,0.924,99.0,0.291,0.12,8444.0,0.229,128.0,34552
3417,NC,South,South Atlantic,Transylvania County,37175,37175,Region 15,1/1/2014,7252.0,0.107,3.0,3.2,8.075,0.226,0.833,70.0,0.25,0.085,7499.0,0.163,27.0,40642
3418,NC,South,South Atlantic,Transylvania County,37175,37175,Region 15,1/1/2015,6363.0,0.107,3.0,3.2,7.6,0.212,0.816,70.0,0.248,0.089,7387.0,0.163,27.0,40578
3419,NC,South,South Atlantic,Tyrrell County,37177,37177,Region 1,1/1/2014,9791.0,,,,6.757,0.299,0.519,,0.293,0.121,7338.0,,,30728
3420,NC,South,South Atlantic,Tyrrell County,37177,37177,Region 1,1/1/2015,10757.0,,,,6.3,0.273,0.519,,0.296,0.112,8344.0,,,32642
3421,NC,South,South Atlantic,Union County,37179,37179,Region 20,1/1/2014,5752.0,0.156,3.0,2.9,8.314,0.212,0.379,57.0,0.219,0.08,9304.0,0.149,32.0,61260
3422,NC,South,South Atlantic,Union County,37179,37179,Region 20,1/1/2015,5213.0,0.156,3.0,2.9,8.1,0.194,0.684,59.0,0.206,0.09,9099.0,0.149,36.0,63912
3423,NC,South,South Atlantic,Vance County,37181,37181,Region 20,1/1/2014,10953.0,0.27,5.2,3.1,5.403,0.316,0.715,51.0,0.239,0.068,8242.0,0.172,84.0,34371
3424,NC,South,South Atlantic,Vance County,37181,37181,Region 20,1/1/2015,11130.0,0.27,5.2,3.1,5.2,0.319,0.734,44.0,0.25,0.077,8415.0,0.172,89.0,35565
3425,NC,South,South Atlantic,Wake County,37183,37183,Region 20,1/1/2014,4954.0,0.111,2.8,2.6,7.742,0.186,0.857,80.0,0.185,0.082,8748.0,0.133,69.0,64107
3426,NC,South,South Atlantic,Wake County,37183,37183,Region 20,1/1/2015,4775.0,0.111,2.8,2.6,7.5,0.181,0.907,81.0,0.182,0.077,8816.0,0.133,78.0,65433
3427,NC,South,South Atlantic,Warren County,37185,37185,Insuff Data,1/1/2014,8576.0,0.191,,3.9,5.685,0.312,0.169,14.0,0.252,0.098,7710.0,,15.0,33068
3428,NC,South,South Atlantic,Warren County,37185,37185,Insuff Data,1/1/2015,7925.0,0.191,,3.9,5.5,0.3,0.442,15.0,0.263,0.09,7925.0,,15.0,33767
3429,NC,South,South Atlantic,Washington County,37187,37187,Region 1,1/1/2014,7919.0,0.175,4.7,2.7,5.238,0.304,0.323,39.0,0.195,0.057,8741.0,,31.0,32545
3430,NC,South,South Atlantic,Washington County,37187,37187,Region 1,1/1/2015,7107.0,0.175,4.7,2.7,5.1,0.294,0.627,39.0,0.215,0.064,8894.0,,31.0,31596
3431,NC,South,South Atlantic,Watauga County,37189,37189,Region 20,1/1/2014,5173.0,0.131,3.8,3.2,7.157,0.219,0.94,82.0,0.225,0.084,9357.0,0.168,62.0,38563
3432,NC,South,South Atlantic,Watauga County,37189,37189,Region 20,1/1/2015,5006.0,0.131,3.8,3.2,6.7,0.217,0.965,64.0,0.234,0.079,9055.0,0.168,67.0,38380
3433,NC,South,South Atlantic,Wayne County,37191,37191,Region 20,1/1/2014,9197.0,0.18,4.0,3.5,6.413,0.31,0.261,52.0,0.251,0.076,9037.0,0.169,70.0,38776
3434,NC,South,South Atlantic,Wayne County,37191,37191,Region 20,1/1/2015,8763.0,0.18,4.0,3.5,6.0,0.278,0.485,53.0,0.253,0.076,9059.0,0.169,76.0,41526
3435,NC,South,South Atlantic,Wilkes County,37193,37193,Region 20,1/1/2014,9057.0,0.203,4.8,4.4,7.068,0.319,0.572,43.0,0.254,0.071,9842.0,0.181,46.0,35362
3436,NC,South,South Atlantic,Wilkes County,37193,37193,Region 20,1/1/2015,8673.0,0.203,4.8,4.4,6.8,0.327,0.554,40.0,0.266,0.079,10085.0,0.181,52.0,35895
3437,NC,South,South Atlantic,Wilson County,37195,37195,Region 20,1/1/2014,8490.0,0.159,3.3,3.1,6.174,0.305,0.618,41.0,0.248,0.081,9251.0,0.107,72.0,37440
3438,NC,South,South Atlantic,Wilson County,37195,37195,Region 20,1/1/2015,8028.0,0.159,3.3,3.1,5.9,0.302,0.541,43.0,0.262,0.079,9450.0,0.107,77.0,40772
3439,NC,South,South Atlantic,Yadkin County,37197,37197,Region 20,1/1/2014,7893.0,0.207,4.1,4.6,8.296,0.281,0.279,29.0,0.252,0.097,10084.0,0.158,32.0,40012
3440,NC,South,South Atlantic,Yadkin County,37197,37197,Region 20,1/1/2015,7258.0,0.207,4.1,4.6,8.0,0.282,0.553,29.0,0.242,0.094,10998.0,0.158,32.0,40998
3441,NC,South,South Atlantic,Yancey County,37199,37199,Region 15,1/1/2014,6872.0,0.193,5.5,4.1,8.001,0.306,1.0,73.0,0.268,0.11,7707.0,0.158,79.0,36019
3442,NC,South,South Atlantic,Yancey County,37199,37199,Region 15,1/1/2015,8917.0,0.193,5.5,4.1,7.7,0.26,1.0,74.0,0.246,0.091,7870.0,0.158,74.0,35866
